           0.000000   206.57      0.23924      4.06122-321   205.88     -0.10634      4.06122-321   206.54     -0.43290      4.06122-321
           0.000628   412.91      0.32197       0.0000       412.21     -2.68937E-02   0.0000       412.88     -0.34988       0.0000    
           0.000628   412.91      0.32197       0.0000       412.21     -2.68937E-02   0.0000       412.88     -0.34988       0.0000    
           0.001257   412.91      0.50467       0.0000       412.21      0.15255       0.0000       412.88     -0.16683       0.0000    
           0.001885   412.91      0.68734       0.0000       412.20      0.33200       0.0000       412.88      1.62576E-02   0.0000    
           0.001885   412.91      0.68734       0.0000       412.20      0.33200       0.0000       412.88      1.62576E-02   0.0000    
           0.001885   412.91      0.68734       0.0000       412.20      0.33200       0.0000       412.88      1.62576E-02   0.0000    
           0.002513   412.91      0.86997       0.0000       412.20      0.51144       0.0000       412.88      0.19938       0.0000    
           0.003142   412.92       1.0526       0.0000       412.20      0.69089       0.0000       412.88      0.38254       0.0000    
           0.003142   412.92       1.0526       0.0000       412.20      0.69089       0.0000       412.88      0.38254       0.0000    
           0.003142   412.92       1.0526       0.0000       412.20      0.69089       0.0000       412.88      0.38254       0.0000    
           0.003142   412.92       1.0526       0.0000       412.20      0.69089       0.0000       412.88      0.38254       0.0000    
           0.003142   412.92       1.0526       0.0000       412.20      0.69089       0.0000       412.88      0.38254       0.0000    
           0.003770   412.92       1.2351       0.0000       412.20      0.87033       0.0000       412.88      0.56573       0.0000    
           0.004399   412.92       1.4176       0.0000       412.20       1.0498       0.0000       412.88      0.74896       0.0000    
           0.004399   412.92       1.4176       0.0000       412.20       1.0498       0.0000       412.88      0.74896       0.0000    
           0.004399   412.92       1.4176       0.0000       412.20       1.0498       0.0000       412.88      0.74896       0.0000    
           0.004399   412.92       1.4176       0.0000       412.20       1.0498       0.0000       412.88      0.74896       0.0000    
           0.004399   412.92       1.4176       0.0000       412.20       1.0498       0.0000       412.88      0.74896       0.0000    
           0.005027   412.92       1.6001       0.0000       412.19       1.2292       0.0000       412.88      0.93222       0.0000    
           0.005655   412.92       1.7826       0.0000       412.19       1.4087       0.0000       412.88       1.1155       0.0000    
           0.005655   412.92       1.7826       0.0000       412.19       1.4087       0.0000       412.88       1.1155       0.0000    
           0.005655   412.92       1.7826       0.0000       412.19       1.4087       0.0000       412.88       1.1155       0.0000    
           0.005655   412.92       1.7826       0.0000       412.19       1.4087       0.0000       412.88       1.1155       0.0000    
           0.005655   412.92       1.7826       0.0000       412.19       1.4087       0.0000       412.88       1.1155       0.0000    
           0.006284   412.93       1.9650       0.0000       412.19       1.5881       0.0000       412.88       1.2989       0.0000    
           0.006912   412.93       2.1474       0.0000       412.19       1.7675       0.0000       412.88       1.4822       0.0000    
           0.006912   412.93       2.1474       0.0000       412.19       1.7675       0.0000       412.88       1.4822       0.0000    
           0.006912   412.93       2.1474       0.0000       412.19       1.7675       0.0000       412.88       1.4822       0.0000    
           0.006912   412.93       2.1474       0.0000       412.19       1.7675       0.0000       412.88       1.4822       0.0000    
           0.006912   412.93       2.1474       0.0000       412.19       1.7675       0.0000       412.88       1.4822       0.0000    
           0.007540   412.93       2.3297       0.0000       412.19       1.9470       0.0000       412.88       1.6656       0.0000    
           0.008169   412.93       2.5121       0.0000       412.18       2.1264       0.0000       412.88       1.8491       0.0000    
           0.008169   412.93       2.5121       0.0000       412.18       2.1264       0.0000       412.88       1.8491       0.0000    
           0.008169   412.93       2.5121       0.0000       412.18       2.1264       0.0000       412.88       1.8491       0.0000    
           0.008169   412.93       2.5121       0.0000       412.18       2.1264       0.0000       412.88       1.8491       0.0000    
           0.008169   412.93       2.5121       0.0000       412.18       2.1264       0.0000       412.88       1.8491       0.0000    
           0.008797   412.93       2.6943       0.0000       412.18       2.3059       0.0000       412.88       2.0325       0.0000    
           0.009426   412.93       2.8766       0.0000       412.18       2.4853       0.0000       412.88       2.2160       0.0000    
           0.009426   412.93       2.8766       0.0000       412.18       2.4853       0.0000       412.88       2.2160       0.0000    
           0.009426   412.93       2.8766       0.0000       412.18       2.4853       0.0000       412.88       2.2160       0.0000    
           0.009426   412.93       2.8766       0.0000       412.18       2.4853       0.0000       412.88       2.2160       0.0000    
           0.009426   412.93       2.8766       0.0000       412.18       2.4853       0.0000       412.88       2.2160       0.0000    
           0.010054   412.93       3.0588       0.0000       412.18       2.6647       0.0000       412.88       2.3995       0.0000    
           0.010682   412.93       3.2409       0.0000       412.17       2.8441       0.0000       412.88       2.5831       0.0000    
           0.010682   412.93       3.2409       0.0000       412.17       2.8441       0.0000       412.88       2.5831       0.0000    
           0.010682   412.93       3.2410       0.0000       412.17       2.8441       0.0000       412.88       2.5831       0.0000    
           0.010682   412.93       3.2410       0.0000       412.17       2.8442       0.0000       412.88       2.5832       0.0000    
           0.010682   412.93       3.2410       0.0000       412.17       2.8442       0.0000       412.88       2.5832       0.0000    
           0.011310   412.94       3.4229       0.0000       412.17       3.0234       0.0000       412.88       2.7665       0.0000    
           0.011938   412.94       3.6050       0.0000       412.17       3.2028       0.0000       412.88       2.9501       0.0000    
           0.011938   412.94       3.6050       0.0000       412.17       3.2028       0.0000       412.88       2.9501       0.0000    
           0.011939   412.94       3.6051       0.0000       412.17       3.2029       0.0000       412.88       2.9503       0.0000    
           0.011940   412.94       3.6054       0.0000       412.17       3.2032       0.0000       412.88       2.9505       0.0000    
           0.011940   412.94       3.6054       0.0000       412.17       3.2032       0.0000       412.88       2.9505       0.0000    
           0.012558   412.94       3.7846       0.0000       412.17       3.3798       0.0000       412.88       3.1313       0.0000    
           0.013186   412.94       3.9665       0.0000       412.16       3.5591       0.0000       412.87       3.3149       0.0000    
           0.013186   412.94       3.9665       0.0000       412.16       3.5591       0.0000       412.87       3.3149       0.0000    
           0.013193   412.94       3.9686       0.0000       412.16       3.5612       0.0000       412.87       3.3170       0.0000    
           0.013203   412.94       3.9715       0.0000       412.16       3.5640       0.0000       412.87       3.3199       0.0000    
           0.013203   412.94       3.9715       0.0000       412.16       3.5640       0.0000       412.87       3.3199       0.0000    
